9.69,3.02,-0.2
9,1.93,-1.29
9.6,4.4,-2.3
9.34,10.06,-1.84
9.25,7.19,-1.38
9.71,7.53,-1.35
9.57,7.82,-0.43
10.38,3.65,0.69
10.84,1.67,1.52
10.4,-0.63,1.9
10.66,-3.59,1.78
10.38,-5.14,2.01
10.15,-5.75,1.93
10.12,-5.52,1.18
9.94,-4.08,0.63
10.55,-1.81,0.37
10.58,-0.52,0.11
10.26,1.49,-0.4
10.2,3.19,-0.63
10.23,2.82,-0.37
10.32,2.82,-0.23
10,1.67,-0.14
10.2,-0.26,-0.03
9.94,-1.93,0.37
9.6,-3.54,0.63
10.17,-4.66,0.83
9.57,-7.79,1.9
9.37,-9.31,1.81
9.86,-7.62,0.63
9.4,-5.49,0.52
9.8,-1.12,-0.03
9.54,1.75,-1.15
8.88,4.31,-1.72
9.48,8.22,-2.07
9.4,7.79,-1.58
9.37,7.93,-1.03
9.77,8.25,-0.89
10.09,5.03,0.2
10.86,3.39,1.49
10.81,0.63,1.7
10.49,-3.25,1.67
10.72,-4.45,2.01
10.38,-5.63,2.04
10.03,-5.98,1.44
10.06,-4.63,0.83
10.23,-2.7,0.57
10.58,-0.8,0.43
10.58,1.06,-0.06
10.32,2.59,-0.57
10.2,3.19,-0.46
10.23,3.42,-0.14
10.2,1.61,-0.06
9.83,0.34,-0.14
9.94,-1.09,0.2
9.94,-4.14,0.83
9.6,-3.25,0.75
10.38,-6.87,1.09
10.12,-10.63,2.1
8.62,-5.86,1.7
9.34,-8.05,0.49
10.43,-6.21,0.03
9.63,3.65,-0.34
9.11,2.82,-1.47
9.37,4.97,-2.3
9.34,10.17,-1.87
9.57,7.33,-1.35
9.63,7.73,-1.18
9.6,7.33,-0.37
10.38,3.08,0.78
10.72,1.52,1.7
10.58,-1.18,1.93
10.58,-4.22,1.81
10.35,-5.09,2.01
10.2,-5.89,1.81
9.97,-5.69,1.18
10.09,-3.56,0.57
10.61,-1.7,0.32
10.52,-0.37,0.11
10.32,2.18,-0.46
10.2,3.33,-0.66
10.32,2.79,-0.43
10.29,2.93,-0.26
9.97,1.44,-0.09
10.23,-0.66,-0.03
9.83,-2.18,0.43
9.74,-3.76,0.69
10.09,-5.12,0.89
9.11,-8.08,2.04
9.71,-9.31,1.72
10.23,-7.82,0.55
9.11,-5.2,0.6
9.77,-0.23,-0.17
9.66,2.5,-1.32
8.77,4.91,-1.75
9.43,8.68,-2.07
9.4,7.96,-1.58
9.54,7.73,-1.01
9.97,7.87,-0.8
10.17,4.66,0.34
10.81,2.93,1.55
10.69,0.2,1.75
10.66,-3.79,1.72
10.78,-4.89,2.04
10.03,-5.52,2.04
9.94,-5.81,1.35
10.32,-4.43,0.86
10.49,-2.41,0.57
10.55,-0.4,0.2
10.38,1.72,-0.26
10.26,2.79,-0.55
10.2,2.96,-0.46
10.15,3.33,-0.23
10.09,1.29,-0.09
9.94,-0.14,-0.06
9.89,-1.38,0.29
9.8,-4.51,0.78
9.83,-3.51,0.72
10.12,-6.84,1.24
9.77,-10.81,2.13
9.05,-5.72,1.49
9.46,-6.87,0.37
10.26,-5.4,0.09
9.71,3.54,-0.37
9.17,3.28,-1.64
9.37,5.29,-2.27
9.25,9.69,-1.67
9.57,7.7,-1.32
9.63,7.73,-1.18
9.66,6.27,-0.23
10.58,3.08,0.86
10.63,1.49,1.7
10.52,-1.95,1.87
10.72,-4.43,1.81
10.32,-5.26,2.07
10.06,-5.69,1.84
10.06,-5.14,1.09
10.26,-3.71,0.49
10.4,-1.44,0.34
10.43,0.43,0.06
10.43,2.07,-0.55
10.12,2.96,-0.6
10.38,3.22,-0.37
10.23,2.79,-0.23
10,0.8,-0.06
10.26,-0.72,0.06
9.54,-2.44,0.55
10,-4.05,0.69
10.03,-5.26,1.06
8.71,-8.36,2.07
10.15,-9.34,1.41
10.15,-7.5,0.55
8.88,-4.48,0.57
10.12,0.55,-0.46
9.46,2.93,-1.38
8.71,4.94,-1.72
9.69,8.51,-2.01
9.37,8.36,-1.44
9.48,7.82,-0.98
10,7.39,-0.69
10.23,4.43,0.57
10.81,2.21,1.58
10.66,-0.46,1.58
10.55,-3.71,1.72
10.75,-5,2.13
10.2,-5.95,1.87
9.86,-5.81,1.24
10.32,-3.79,0.89
10.61,-2.13,0.63
10.49,-0.17,0.23
10.49,2.21,-0.32
10.26,2.73,-0.55
10.15,2.93,-0.32
10.35,3.19,-0.23
10,0.92,-0.17
10,-0.17,-0.06
9.92,-1.61,0.32
9.46,-4.51,0.75
10.26,-3.97,0.75
10.15,-7.5,1.35
8.97,-10.61,2.16
9.37,-6.15,1.38
10.03,-6.21,0.29
9.94,-4.17,0.03
9.51,2.87,-0.55
9.31,4.08,-1.81
9.28,6.52,-2.27
9.25,8.88,-1.64
9.69,7.73,-1.35
9.54,8.13,-1.06
9.8,5.66,-0.06
10.72,2.56,1.06
10.46,1.09,1.75
10.52,-2.44,1.84
10.78,-4.68,1.84
10.29,-5.35,2.01
10.06,-5.81,1.7
9.94,-4.77,1.01
10.2,-3.22,0.49
10.55,-1.38,0.34
10.63,0.6,-0.03
10.35,2.33,-0.57
10.03,3.22,-0.49
10.43,3.16,-0.26
10.15,2.36,-0.14
10.06,0.72,-0.09
10.26,-1.01,0.03
9.48,-2.9,0.57
10.23,-4.05,0.6
9.71,-5.63,1.18
8.56,-8.91,2.18
10.46,-9.2,1.26
9.86,-7.07,0.49
8.97,-3.94,0.49
10.43,0.86,-0.57
9.17,3.13,-1.35
8.79,5.78,-1.87
9.8,8.79,-2.07
9.28,7.9,-1.26
9.69,8.16,-1.01
9.97,7.62,-0.57
10.23,3.91,0.78
10.86,2.07,1.61
10.52,-0.8,1.61
10.66,-4.43,1.84
10.69,-5.29,2.13
10.06,-6.01,1.75
10,-5.86,1.12
10.26,-3.65,0.83
10.49,-1.7,0.49
10.58,0,0.17
10.52,2.27,-0.29
10.09,3.28,-0.57
10.12,3.25,-0.32
10.52,2.93,-0.11
9.83,1.01,-0.11
9.92,-0.23,0
9.97,-2.07,0.43
9.4,-4.68,0.75
10.46,-4.43,0.78
9.97,-7.7,1.49
8.59,-10.55,2.07
9.54,-7.01,1.21
10.15,-5.72,0.23
9.83,-2.79,0.03
9.46,2.5,-0.63
9.48,4.37,-1.95
9.43,7.36,-2.21
9.02,8.56,-1.49
9.71,8.1,-1.29
9.77,8.33,-1.01
9.77,5.14,0.06
10.78,2.59,1.12
10.61,0.75,1.78
10.46,-2.96,1.87
10.58,-4.8,1.84
10.38,-5.63,1.98
10.15,-5.89,1.67
9.8,-4.68,0.95
10.32,-3.1,0.46
10.58,-1.09,0.34
10.38,1.03,-0.09
10.4,2.5,-0.6
10.15,3.05,-0.49
10.38,3.31,-0.32
10.06,2.21,-0.2
10.15,0.49,-0.11
10.2,-1.09,0.11
9.31,-3.25,0.63
10.52,-4.02,0.57
9.86,-6.29,1.35
8.45,-9.28,2.21
10.32,-8.02,1.03
9.71,-6.67,0.52
9.17,-3.31,0.4
10.35,1.55,-0.8
8.97,2.62,-1.47
8.91,5.83,-1.98
9.6,8.42,-2.01
9.11,7.36,-1.21
9.83,8.05,-1.01
10.17,6.73,-0.37
10.32,3.82,1.03
10.81,2.24,1.7
10.61,-1.03,1.7
10.58,-3.91,1.87
10.63,-5.09,2.07
10.23,-5.92,1.7
10,-5.23,1.01
10.2,-3.51,0.66
10.46,-1.72,0.46
10.49,0.29,0.03
10.52,1.93,-0.37
10.23,2.64,-0.46
10.17,3.1,-0.29
10.38,2.53,-0.09
9.74,0.83,-0.06
10.03,-0.49,0
10.06,-2.56,0.49
9.4,-3.74,0.75
10.61,-4.63,0.83
10.15,-8.08,1.61
8.33,-9.05,1.93
9.4,-7.99,1.01
10.46,-5.75,0.2
9.77,-0.43,0.03
9.17,1.55,-0.83
9.69,4.22,-2.13
9.51,8.82,-2.1
8.85,7.44,-1.44
9.69,7.59,-1.38
9.71,8.65,-0.86
9.86,4.57,0.26
10.86,2.3,1.24
10.52,0.43,1.87
10.52,-3.13,1.81
10.61,-4.8,1.9
10.35,-5.63,2.01
10.17,-5.6,1.47
9.77,-4.45,0.8
10.35,-2.76,0.46
10.61,-0.86,0.26
10.4,1.09,-0.26
10.32,2.62,-0.69
10.09,3.08,-0.52
10.4,3.16,-0.34
10.03,1.81,-0.14
10.15,0.32,-0.03
10.15,-1.21,0.23
9.37,-3.56,0.72
10.66,-3.99,0.66
9.94,-6.84,1.49
8.56,-9.66,2.18
9.94,-7.21,0.89
9.51,-6.18,0.4
9.54,-3.56,0.23
10.17,1.49,-0.86
9.02,3.54,-1.55
9.11,6.5,-2.04
9.4,8.22,-1.78
9.34,8.13,-1.06
9.77,8.59,-1.01
9.97,5.95,-0.23
10.66,3.74,1.18
10.81,2.18,1.72
10.61,-2.13,1.64
10.66,-4.63,1.84
10.35,-5.09,2.1
10.12,-6.06,1.61
10.03,-5.58,0.95
10.32,-3.36,0.69
10.69,-1.32,0.49
10.43,0.57,0.09
10.4,2.24,-0.43
